--- 2D FFT Log Data (Range-Doppler Map) ---
RADAR_ANT_COUNT: 2
DOPPLER_POINTS: 64
RANGE_BINS_LOG: 20
-------------------------------------------

=== Antenna 0 Results ===
--- Ant 0 / Range Bin 0 Doppler FFT Results ---
  Doppler Bin 0: R=613.76, I=0.00, Magnitude=613.76
  Doppler Bin 1: R=60.01, I=469.22, Magnitude=473.04
  Doppler Bin 2: R=-461.70, I=-319.64, Magnitude=561.55
  Doppler Bin 3: R=332.46, I=56.62, Magnitude=337.24
  Doppler Bin 4: R=-855.61, I=-192.43, Magnitude=876.98
  Doppler Bin 5: R=569.42, I=624.79, Magnitude=845.34
  Doppler Bin 6: R=601.77, I=-79.53, Magnitude=607.01
  Doppler Bin 7: R=-922.83, I=-997.46, Magnitude=1358.88
  Doppler Bin 8: R=428.98, I=1573.54, Magnitude=1630.96
  Doppler Bin 9: R=375.96, I=-2194.70, Magnitude=2226.67
  Doppler Bin 10: R=-941.63, I=2356.76, Magnitude=2537.91
  Doppler Bin 11: R=610.42, I=-1886.12, Magnitude=1982.43
  Doppler Bin 12: R=-272.35, I=946.46, Magnitude=984.86
  Doppler Bin 13: R=48.19, I=-70.28, Magnitude=85.22
  Doppler Bin 14: R=598.80, I=818.00, Magnitude=1013.75
  Doppler Bin 15: R=-804.84, I=-1481.11, Magnitude=1685.66
  Doppler Bin 16: R=634.39, I=1051.10, Magnitude=1227.70
  Doppler Bin 17: R=-621.31, I=-1131.73, Magnitude=1291.07
  Doppler Bin 18: R=368.00, I=734.78, Magnitude=821.79
  Doppler Bin 19: R=533.83, I=-43.40, Magnitude=535.59
  Doppler Bin 20: R=-836.44, I=432.26, Magnitude=941.53
  Doppler Bin 21: R=349.65, I=-928.52, Magnitude=992.17
  Doppler Bin 22: R=-946.00, I=192.25, Magnitude=965.33
  Doppler Bin 23: R=1242.73, I=1246.21, Magnitude=1759.95
  Doppler Bin 24: R=-490.07, I=-1154.02, Magnitude=1253.76
  Doppler Bin 25: R=78.42, I=-287.90, Magnitude=298.39
  Doppler Bin 26: R=-155.50, I=567.05, Magnitude=587.98
  Doppler Bin 27: R=899.56, I=-140.33, Magnitude=910.44
  Doppler Bin 28: R=-2584.11, I=20.48, Magnitude=2584.19
  Doppler Bin 29: R=2056.44, I=-399.65, Magnitude=2094.92
  Doppler Bin 30: R=1562.01, I=1618.56, Magnitude=2249.36
  Doppler Bin 31: R=-2422.06, I=-1344.59, Magnitude=2770.26
  Doppler Bin 32: R=1313.04, I=0.00, Magnitude=1313.04
  Doppler Bin 33: R=-2422.06, I=1344.59, Magnitude=2770.26
  Doppler Bin 34: R=1562.01, I=-1618.56, Magnitude=2249.36
  Doppler Bin 35: R=2056.44, I=399.65, Magnitude=2094.92
  Doppler Bin 36: R=-2584.11, I=-20.48, Magnitude=2584.19
  Doppler Bin 37: R=899.56, I=140.33, Magnitude=910.44
  Doppler Bin 38: R=-155.50, I=-567.05, Magnitude=587.98
  Doppler Bin 39: R=78.42, I=287.90, Magnitude=298.39
  Doppler Bin 40: R=-490.07, I=1154.02, Magnitude=1253.76
  Doppler Bin 41: R=1242.73, I=-1246.21, Magnitude=1759.95
  Doppler Bin 42: R=-946.00, I=-192.25, Magnitude=965.33
  Doppler Bin 43: R=349.65, I=928.52, Magnitude=992.17
  Doppler Bin 44: R=-836.44, I=-432.26, Magnitude=941.53
  Doppler Bin 45: R=533.83, I=43.40, Magnitude=535.59
  Doppler Bin 46: R=368.00, I=-734.78, Magnitude=821.79
  Doppler Bin 47: R=-621.31, I=1131.73, Magnitude=1291.07
  Doppler Bin 48: R=634.39, I=-1051.10, Magnitude=1227.70
  Doppler Bin 49: R=-804.84, I=1481.11, Magnitude=1685.66
  Doppler Bin 50: R=598.80, I=-818.00, Magnitude=1013.75
  Doppler Bin 51: R=48.19, I=70.28, Magnitude=85.22
  Doppler Bin 52: R=-272.35, I=-946.46, Magnitude=984.86
  Doppler Bin 53: R=610.42, I=1886.12, Magnitude=1982.43
  Doppler Bin 54: R=-941.63, I=-2356.76, Magnitude=2537.91
  Doppler Bin 55: R=375.96, I=2194.70, Magnitude=2226.67
  Doppler Bin 56: R=428.98, I=-1573.54, Magnitude=1630.96
  Doppler Bin 57: R=-922.83, I=997.46, Magnitude=1358.88
  Doppler Bin 58: R=601.77, I=79.53, Magnitude=607.01
  Doppler Bin 59: R=569.42, I=-624.79, Magnitude=845.34
  Doppler Bin 60: R=-855.61, I=192.43, Magnitude=876.98
  Doppler Bin 61: R=332.46, I=-56.62, Magnitude=337.24
  Doppler Bin 62: R=-461.70, I=319.64, Magnitude=561.55
  Doppler Bin 63: R=60.01, I=-469.22, Magnitude=473.04

--- Ant 0 / Range Bin 1 Doppler FFT Results ---
  Doppler Bin 0: R=-98.95, I=171.72, Magnitude=198.19
  Doppler Bin 1: R=23.91, I=-373.09, Magnitude=373.85
  Doppler Bin 2: R=516.71, I=33.24, Magnitude=517.78
  Doppler Bin 3: R=-882.65, I=-63.56, Magnitude=884.93
  Doppler Bin 4: R=1425.87, I=187.73, Magnitude=1438.18
  Doppler Bin 5: R=-1149.59, I=-447.60, Magnitude=1233.66
  Doppler Bin 6: R=-457.01, I=384.76, Magnitude=597.41
  Doppler Bin 7: R=1406.91, I=261.43, Magnitude=1430.99
  Doppler Bin 8: R=-843.19, I=-800.58, Magnitude=1162.72
  Doppler Bin 9: R=-362.36, I=1523.87, Magnitude=1566.37
  Doppler Bin 10: R=1259.58, I=-2371.48, Magnitude=2685.23
  Doppler Bin 11: R=-1115.96, I=2293.76, Magnitude=2550.82
  Doppler Bin 12: R=633.67, I=-1072.59, Magnitude=1245.79
  Doppler Bin 13: R=-499.31, I=195.47, Magnitude=536.21
  Doppler Bin 14: R=416.52, I=-860.54, Magnitude=956.04
  Doppler Bin 15: R=-80.74, I=1204.73, Magnitude=1207.43
  Doppler Bin 16: R=-406.00, I=-892.44, Magnitude=980.46
  Doppler Bin 17: R=569.17, I=1325.60, Magnitude=1442.63
  Doppler Bin 18: R=-186.06, I=-931.85, Magnitude=950.24
  Doppler Bin 19: R=-472.10, I=94.97, Magnitude=481.56
  Doppler Bin 20: R=170.35, I=-403.06, Magnitude=437.58
  Doppler Bin 21: R=380.07, I=761.03, Magnitude=850.66
  Doppler Bin 22: R=335.51, I=243.08, Magnitude=414.31
  Doppler Bin 23: R=-436.13, I=-2146.61, Magnitude=2190.47
  Doppler Bin 24: R=-227.72, I=2387.45, Magnitude=2398.29
  Doppler Bin 25: R=801.20, I=-780.45, Magnitude=1118.49
