--- DC Removal Log Data (Post-Clutter Removal) ---
RADAR_ANT_COUNT: 2
RADAR_CHIRP_COUNT: 64
FFT Range Bins (Output): 64
-------------------------------------

--- Ant 0 / Chirp 0 FFT Results (Post-DC) ---
  Range Bin 0: R=115.59, I=0.00, Magnitude=115.59
  Range Bin 1: R=-84.36, I=35.12, Magnitude=91.38
  Range Bin 2: R=41.81, I=-31.23, Magnitude=52.19
  Range Bin 3: R=-16.50, I=-13.45, Magnitude=21.29
  Range Bin 4: R=-34.12, I=0.13, Magnitude=34.12
  Range Bin 5: R=14.52, I=48.12, Magnitude=50.26
  Range Bin 6: R=22.39, I=-32.69, Magnitude=39.62
  Range Bin 7: R=-18.14, I=-10.99, Magnitude=21.21
  Range Bin 8: R=12.62, I=37.62, Magnitude=39.68
  Range Bin 9: R=-50.18, I=-1.18, Magnitude=50.19
  Range Bin 10: R=23.30, I=-43.28, Magnitude=49.16
  Range Bin 11: R=37.71, I=78.50, Magnitude=87.09
  Range Bin 12: R=-50.22, I=-75.36, Magnitude=90.56
  Range Bin 13: R=-32.19, I=34.30, Magnitude=47.04
  Range Bin 14: R=51.26, I=-65.82, Magnitude=83.42
  Range Bin 15: R=-13.42, I=45.64, Magnitude=47.57
  Range Bin 16: R=19.38, I=11.81, Magnitude=22.69
  Range Bin 17: R=-6.02, I=-2.27, Magnitude=6.43
  Range Bin 18: R=2.73, I=-69.79, Magnitude=69.85
  Range Bin 19: R=-28.05, I=66.88, Magnitude=72.53
  Range Bin 20: R=-470.10, I=-290.33, Magnitude=552.52
  Range Bin 21: R=82.99, I=-120.84, Magnitude=146.59
  Range Bin 22: R=-129.90, I=71.48, Magnitude=148.27
  Range Bin 23: R=441.74, I=91.38, Magnitude=451.10
  Range Bin 24: R=-254.01, I=-286.73, Magnitude=383.06
  Range Bin 25: R=51.91, I=152.84, Magnitude=161.42
  Range Bin 26: R=-101.70, I=88.84, Magnitude=135.04
  Range Bin 27: R=97.13, I=-41.66, Magnitude=105.69
  Range Bin 28: R=11.22, I=-3.46, Magnitude=11.74
  Range Bin 29: R=-97.45, I=-48.97, Magnitude=109.06
  Range Bin 30: R=144.46, I=93.82, Magnitude=172.25
  Range Bin 31: R=-139.66, I=11.04, Magnitude=140.10
  Range Bin 32: R=56.77, I=-50.95, Magnitude=76.28
  Range Bin 33: R=86.78, I=-21.68, Magnitude=89.45
  Range Bin 34: R=-96.20, I=-9.49, Magnitude=96.66
  Range Bin 35: R=-18.53, I=87.55, Magnitude=89.49
  Range Bin 36: R=-28.43, I=-78.72, Magnitude=83.69
  Range Bin 37: R=190.36, I=-37.24, Magnitude=193.97
  Range Bin 38: R=-290.67, I=74.41, Magnitude=300.04
  Range Bin 39: R=80.63, I=41.36, Magnitude=90.62
  Range Bin 40: R=12.22, I=-126.75, Magnitude=127.34
  Range Bin 41: R=-26.14, I=74.04, Magnitude=78.52
  Range Bin 42: R=67.55, I=-55.95, Magnitude=87.71
  Range Bin 43: R=39.02, I=-96.84, Magnitude=104.41
  Range Bin 44: R=-115.91, I=325.20, Magnitude=345.24
  Range Bin 45: R=-22.00, I=-204.95, Magnitude=206.13
  Range Bin 46: R=76.38, I=3.90, Magnitude=76.48
  Range Bin 47: R=-87.20, I=11.77, Magnitude=87.99
  Range Bin 48: R=54.51, I=-12.38, Magnitude=55.90
  Range Bin 49: R=70.45, I=-2.03, Magnitude=70.48
  Range Bin 50: R=-92.69, I=32.99, Magnitude=98.39
  Range Bin 51: R=-10.31, I=-117.62, Magnitude=118.07
  Range Bin 52: R=7.87, I=168.77, Magnitude=168.96
  Range Bin 53: R=50.76, I=-143.25, Magnitude=151.98
  Range Bin 54: R=-50.44, I=90.37, Magnitude=103.49
  Range Bin 55: R=-14.94, I=-6.75, Magnitude=16.39
  Range Bin 56: R=7.70, I=-4.83, Magnitude=9.09
  Range Bin 57: R=-31.65, I=-65.37, Magnitude=72.63
  Range Bin 58: R=102.32, I=64.88, Magnitude=121.15
  Range Bin 59: R=-172.57, I=24.61, Magnitude=174.32
  Range Bin 60: R=130.67, I=-23.17, Magnitude=132.71
  Range Bin 61: R=-50.06, I=-27.83, Magnitude=57.27
  Range Bin 62: R=25.43, I=80.90, Magnitude=84.80
  Range Bin 63: R=-133.43, I=-99.78, Magnitude=166.61

--- Ant 0 / Chirp 1 FFT Results (Post-DC) ---
  Range Bin 0: R=78.90, I=0.00, Magnitude=78.90
  Range Bin 1: R=-0.95, I=17.69, Magnitude=17.72
  Range Bin 2: R=-35.48, I=13.19, Magnitude=37.86
  Range Bin 3: R=-11.99, I=13.27, Magnitude=17.88
  Range Bin 4: R=-1.40, I=2.59, Magnitude=2.94
  Range Bin 5: R=-25.88, I=-10.00, Magnitude=27.74
  Range Bin 6: R=71.67, I=-65.37, Magnitude=97.00
  Range Bin 7: R=-33.82, I=41.39, Magnitude=53.45
  Range Bin 8: R=5.42, I=-25.37, Magnitude=25.94
  Range Bin 9: R=-12.46, I=75.87, Magnitude=76.89
  Range Bin 10: R=-9.31, I=-50.58, Magnitude=51.43
  Range Bin 11: R=95.53, I=-18.86, Magnitude=97.37
  Range Bin 12: R=-95.25, I=4.87, Magnitude=95.37
  Range Bin 13: R=34.85, I=-11.66, Magnitude=36.75
  Range Bin 14: R=-39.06, I=23.53, Magnitude=45.60
  Range Bin 15: R=42.01, I=1.09, Magnitude=42.02
  Range Bin 16: R=-61.93, I=-31.92, Magnitude=69.67
  Range Bin 17: R=44.82, I=42.56, Magnitude=61.81
  Range Bin 18: R=49.21, I=-9.31, Magnitude=50.09
  Range Bin 19: R=-0.83, I=-14.43, Magnitude=14.45
  Range Bin 20: R=-550.93, I=-307.57, Magnitude=630.97
  Range Bin 21: R=30.80, I=-63.36, Magnitude=70.45
  Range Bin 22: R=-138.69, I=-12.05, Magnitude=139.22
  Range Bin 23: R=456.46, I=176.85, Magnitude=489.52
  Range Bin 24: R=-122.33, I=-387.53, Magnitude=406.38
  Range Bin 25: R=-13.00, I=256.98, Magnitude=257.31
  Range Bin 26: R=-119.64, I=65.31, Magnitude=136.31
  Range Bin 27: R=92.01, I=-32.19, Magnitude=97.48
  Range Bin 28: R=39.17, I=9.84, Magnitude=40.38
  Range Bin 29: R=-83.30, I=-83.74, Magnitude=118.12
  Range Bin 30: R=84.72, I=116.24, Magnitude=143.84
  Range Bin 31: R=-39.06, I=-59.73, Magnitude=71.37
  Range Bin 32: R=-41.98, I=-6.21, Magnitude=42.44
  Range Bin 33: R=112.92, I=33.14, Magnitude=117.69
  Range Bin 34: R=-120.58, I=-61.77, Magnitude=135.48
  Range Bin 35: R=3.34, I=71.71, Magnitude=71.79
  Range Bin 36: R=-62.41, I=-59.00, Magnitude=85.88
  Range Bin 37: R=217.52, I=19.46, Magnitude=218.39
  Range Bin 38: R=-270.80, I=10.84, Magnitude=271.01
  Range Bin 39: R=71.14, I=41.04, Magnitude=82.12
  Range Bin 40: R=58.77, I=-148.74, Magnitude=159.93
  Range Bin 41: R=-51.56, I=47.15, Magnitude=69.86
  Range Bin 42: R=38.32, I=102.93, Magnitude=109.83
  Range Bin 43: R=35.41, I=-182.54, Magnitude=185.94
  Range Bin 44: R=-81.59, I=285.35, Magnitude=296.79
  Range Bin 45: R=-101.56, I=-237.45, Magnitude=258.26
  Range Bin 46: R=154.76, I=28.77, Magnitude=157.41
  Range Bin 47: R=-91.42, I=17.37, Magnitude=93.05
