--- 1D FFT Log Data ---
RADAR_ANT_COUNT: 2
RADAR_CHIRP_COUNT: 64
RADAR_CHIRP_POINTS: 128
------------------------

Ant 0 / Chirp 1 FFT Results:
  Point 0: R=2288.00, I=0.00, Magnitude=2288.00
  Point 1: R=-248.52, I=-88.16, Magnitude=263.70
  Point 2: R=-192.23, I=-84.07, Magnitude=209.81
  Point 3: R=133.12, I=120.28, Magnitude=179.41
  Point 4: R=9.61, I=80.66, Magnitude=81.23
  Point 5: R=80.15, I=-34.32, Magnitude=87.19
  Point 6: R=85.03, I=-72.15, Magnitude=111.51
  Point 7: R=35.74, I=63.25, Magnitude=72.65
  Point 8: R=30.93, I=-7.72, Magnitude=31.88
  Point 9: R=10.36, I=101.45, Magnitude=101.98
  Point 10: R=24.68, I=-48.82, Magnitude=54.70
  Point 11: R=21.87, I=-66.91, Magnitude=70.39
  Point 12: R=3.47, I=60.89, Magnitude=60.99
  Point 13: R=45.90, I=-10.57, Magnitude=47.10
  Point 14: R=86.25, I=-52.85, Magnitude=101.15
  Point 15: R=26.68, I=190.95, Magnitude=192.81
  Point 16: R=211.60, I=46.05, Magnitude=216.55
  Point 17: R=116.94, I=61.05, Magnitude=131.92
  Point 18: R=-85.91, I=-17.37, Magnitude=87.65
  Point 19: R=-131.07, I=454.92, Magnitude=473.43
  Point 20: R=56.38, I=-525.02, Magnitude=528.03
  Point 21: R=-6.03, I=-67.33, Magnitude=67.60
  Point 22: R=93.31, I=52.20, Magnitude=106.92
  Point 23: R=231.79, I=-124.61, Magnitude=263.16
  Point 24: R=-5.27, I=-289.24, Magnitude=289.29
  Point 25: R=120.23, I=-65.67, Magnitude=136.99
  Point 26: R=48.38, I=38.60, Magnitude=61.89
  Point 27: R=59.28, I=172.34, Magnitude=182.25
  Point 28: R=-37.98, I=29.11, Magnitude=47.85
  Point 29: R=27.26, I=31.95, Magnitude=42.00
  Point 30: R=106.88, I=-3.99, Magnitude=106.95
  Point 31: R=-92.10, I=13.26, Magnitude=93.05
  Point 32: R=51.00, I=53.00, Magnitude=73.55
  Point 33: R=82.07, I=-51.14, Magnitude=96.70
  Point 34: R=-39.56, I=112.00, Magnitude=118.78
  Point 35: R=-200.33, I=-27.17, Magnitude=202.17
  Point 36: R=18.09, I=-97.31, Magnitude=98.98
  Point 37: R=27.43, I=114.68, Magnitude=117.91
  Point 38: R=86.36, I=572.66, Magnitude=579.13
  Point 39: R=-52.87, I=-202.42, Magnitude=209.21
  Point 40: R=-92.71, I=-30.20, Magnitude=97.51
  Point 41: R=28.61, I=-18.57, Magnitude=34.10
  Point 42: R=-4.74, I=-64.79, Magnitude=64.97
  Point 43: R=-10.83, I=-56.05, Magnitude=57.08
  Point 44: R=-29.18, I=-122.79, Magnitude=126.21
  Point 45: R=121.23, I=12.73, Magnitude=121.90
  Point 46: R=-45.02, I=54.02, Magnitude=70.32
  Point 47: R=-18.91, I=3.16, Magnitude=19.17
  Point 48: R=-7.60, I=-55.95, Magnitude=56.46
  Point 49: R=-10.29, I=43.26, Magnitude=44.47
  Point 50: R=-18.67, I=35.74, Magnitude=40.32
