--- 2D FFT Log Data (Range-Doppler Map) ---
RADAR_ANT_COUNT: 2
DOPPLER_POINTS: 64
RANGE_BINS_LOG: 20
-------------------------------------------

=== Antenna 0 Results ===
--- Ant 0 / Range Bin 0 Doppler FFT Results ---
  Doppler Bin 0: R=-140.39, I=0.00, Magnitude=140.39
  Doppler Bin 1: R=65.95, I=-102.32, Magnitude=121.73
  Doppler Bin 2: R=80.12, I=-36.32, Magnitude=87.96
  Doppler Bin 3: R=130.62, I=-22.76, Magnitude=132.59
  Doppler Bin 4: R=234.73, I=138.43, Magnitude=272.50
  Doppler Bin 5: R=-48.50, I=126.16, Magnitude=135.16
  Doppler Bin 6: R=-127.96, I=-68.01, Magnitude=144.91
  Doppler Bin 7: R=-72.03, I=-71.93, Magnitude=101.80
  Doppler Bin 8: R=-144.85, I=-170.57, Magnitude=223.77
  Doppler Bin 9: R=263.02, I=-127.00, Magnitude=292.08
  Doppler Bin 10: R=24.06, I=45.08, Magnitude=51.10
  Doppler Bin 11: R=-131.86, I=18.20, Magnitude=133.11
  Doppler Bin 12: R=-71.95, I=-85.79, Magnitude=111.97
  Doppler Bin 13: R=33.41, I=141.07, Magnitude=144.97
  Doppler Bin 14: R=-42.54, I=39.54, Magnitude=58.07
  Doppler Bin 15: R=-102.91, I=65.89, Magnitude=122.20
  Doppler Bin 16: R=200.69, I=138.03, Magnitude=243.58
  Doppler Bin 17: R=252.23, I=84.99, Magnitude=266.17
  Doppler Bin 18: R=67.98, I=-41.40, Magnitude=79.59
  Doppler Bin 19: R=-59.55, I=-34.89, Magnitude=69.02
  Doppler Bin 20: R=253.06, I=-51.74, Magnitude=258.29
  Doppler Bin 21: R=-153.76, I=56.85, Magnitude=163.93
  Doppler Bin 22: R=4.57, I=98.56, Magnitude=98.66
  Doppler Bin 23: R=296.99, I=11.70, Magnitude=297.22
  Doppler Bin 24: R=77.85, I=-88.05, Magnitude=117.53
  Doppler Bin 25: R=195.10, I=-78.81, Magnitude=210.42
  Doppler Bin 26: R=-67.31, I=190.29, Magnitude=201.84
  Doppler Bin 27: R=166.82, I=55.11, Magnitude=175.69
  Doppler Bin 28: R=192.33, I=-152.65, Magnitude=245.55
  Doppler Bin 29: R=256.84, I=293.45, Magnitude=389.98
  Doppler Bin 30: R=77.88, I=74.30, Magnitude=107.64
  Doppler Bin 31: R=203.17, I=70.76, Magnitude=215.14
  Doppler Bin 32: R=-23195.78, I=0.00, Magnitude=23195.78
