--- DC Removal Log Data (Post-Clutter Removal) ---
RADAR_ANT_COUNT: 2
RADAR_CHIRP_COUNT: 64
FFT Range Bins (Output): 64
-------------------------------------

--- Ant 0 / Chirp 0 FFT Results (Post-DC) ---
  Range Bin 0: R=115.59, I=0.00, Magnitude=115.59
  Range Bin 1: R=-84.36, I=35.12, Magnitude=91.38
  Range Bin 2: R=41.81, I=-31.23, Magnitude=52.19
  Range Bin 3: R=-16.50, I=-13.45, Magnitude=21.29
  Range Bin 4: R=-34.12, I=0.13, Magnitude=34.12
  Range Bin 5: R=14.52, I=48.12, Magnitude=50.26
  Range Bin 6: R=22.39, I=-32.69, Magnitude=39.62
  Range Bin 7: R=-18.14, I=-10.99, Magnitude=21.21
  Range Bin 8: R=12.62, I=37.62, Magnitude=39.68
  Range Bin 9: R=-50.18, I=-1.18, Magnitude=50.19
  Range Bin 10: R=23.30, I=-43.28, Magnitude=49.16
  Range Bin 11: R=37.71, I=78.50, Magnitude=87.09
  Range Bin 12: R=-50.22, I=-75.36, Magnitude=90.56
  Range Bin 13: R=-32.19, I=34.30, Magnitude=47.04
  Range Bin 14: R=51.26, I=-65.82, Magnitude=83.42
  Range Bin 15: R=-13.42, I=45.64, Magnitude=47.57
  Range Bin 16: R=19.38, I=11.81, Magnitude=22.69
  Range Bin 17: R=-6.02, I=-2.27, Magnitude=6.43
  Range Bin 18: R=2.73, I=-69.79, Magnitude=69.85
  Range Bin 19: R=-28.05, I=66.88, Magnitude=72.53
  Range Bin 20: R=25.35, I=14.08, Magnitude=28.99
  Range Bin 21: R=52.74, I=-30.04, Magnitude=60.69
  Range Bin 22: R=-45.64, I=6.42, Magnitude=46.09
  Range Bin 23: R=32.43, I=-24.40, Magnitude=40.58
  Range Bin 24: R=-119.44, I=73.07, Magnitude=140.02
  Range Bin 25: R=88.68, I=-73.86, Magnitude=115.41
  Range Bin 26: R=-33.74, I=31.86, Magnitude=46.40
  Range Bin 27: R=31.02, I=19.97, Magnitude=36.89
  Range Bin 28: R=-3.24, I=-47.27, Magnitude=47.38
  Range Bin 29: R=-59.00, I=28.71, Magnitude=65.61
  Range Bin 30: R=51.14, I=16.67, Magnitude=53.79
  Range Bin 31: R=-39.17, I=44.61, Magnitude=59.36
  Range Bin 32: R=54.53, I=-60.36, Magnitude=81.34
  Range Bin 33: R=-33.31, I=-3.89, Magnitude=33.54
  Range Bin 34: R=18.14, I=36.71, Magnitude=40.94
  Range Bin 35: R=-12.91, I=-18.97, Magnitude=22.95
  Range Bin 36: R=30.81, I=-28.09, Magnitude=41.69
  Range Bin 37: R=-53.10, I=0.55, Magnitude=53.10
  Range Bin 38: R=10.29, I=35.26, Magnitude=36.73
  Range Bin 39: R=5.30, I=-5.06, Magnitude=7.33
  Range Bin 40: R=-20.95, I=-12.43, Magnitude=24.36
  Range Bin 41: R=11.00, I=-10.10, Magnitude=14.94
  Range Bin 42: R=35.04, I=-42.05, Magnitude=54.74
  Range Bin 43: R=27.25, I=32.53, Magnitude=42.43
  Range Bin 44: R=-90.00, I=15.94, Magnitude=91.41
  Range Bin 45: R=40.54, I=-5.95, Magnitude=40.97
  Range Bin 46: R=-0.87, I=21.70, Magnitude=21.72
  Range Bin 47: R=-18.57, I=-32.11, Magnitude=37.10
  Range Bin 48: R=1.10, I=2.48, Magnitude=2.71
  Range Bin 49: R=19.51, I=-28.98, Magnitude=34.93
  Range Bin 50: R=6.43, I=28.12, Magnitude=28.85
  Range Bin 51: R=-51.28, I=-32.46, Magnitude=60.69
  Range Bin 52: R=54.03, I=79.55, Magnitude=96.16
  Range Bin 53: R=-19.71, I=-93.00, Magnitude=95.06
  Range Bin 54: R=-3.65, I=56.24, Magnitude=56.36
  Range Bin 55: R=-7.78, I=39.56, Magnitude=40.31
  Range Bin 56: R=28.71, I=-58.67, Magnitude=65.32
  Range Bin 57: R=-34.12, I=-19.40, Magnitude=39.25
  Range Bin 58: R=32.99, I=41.97, Magnitude=53.38
  Range Bin 59: R=-65.99, I=21.80, Magnitude=69.50
  Range Bin 60: R=69.99, I=-13.48, Magnitude=71.28
  Range Bin 61: R=-34.24, I=-19.57, Magnitude=39.43
  Range Bin 62: R=11.64, I=36.94, Magnitude=38.73
  Range Bin 63: R=-31.78, I=-34.11, Magnitude=46.62

--- Ant 0 / Chirp 1 FFT Results (Post-DC) ---
  Range Bin 0: R=78.90, I=0.00, Magnitude=78.90
  Range Bin 1: R=-0.95, I=17.69, Magnitude=17.72
  Range Bin 2: R=-35.48, I=13.19, Magnitude=37.86
  Range Bin 3: R=-11.99, I=13.27, Magnitude=17.88
  Range Bin 4: R=-1.40, I=2.59, Magnitude=2.94
  Range Bin 5: R=-25.88, I=-10.00, Magnitude=27.74
  Range Bin 6: R=71.67, I=-65.37, Magnitude=97.00
  Range Bin 7: R=-33.82, I=41.39, Magnitude=53.45
  Range Bin 8: R=5.42, I=-25.37, Magnitude=25.94
  Range Bin 9: R=-12.46, I=75.87, Magnitude=76.89
  Range Bin 10: R=-9.31, I=-50.58, Magnitude=51.43
  Range Bin 11: R=95.53, I=-18.86, Magnitude=97.37
  Range Bin 12: R=-95.25, I=4.87, Magnitude=95.37
  Range Bin 13: R=34.85, I=-11.66, Magnitude=36.75
  Range Bin 14: R=-39.06, I=23.53, Magnitude=45.60
  Range Bin 15: R=42.01, I=1.09, Magnitude=42.02
  Range Bin 16: R=-61.93, I=-31.92, Magnitude=69.67
  Range Bin 17: R=44.82, I=42.56, Magnitude=61.81
  Range Bin 18: R=49.21, I=-9.31, Magnitude=50.09
  Range Bin 19: R=-0.83, I=-14.43, Magnitude=14.45
  Range Bin 20: R=-55.49, I=-3.17, Magnitude=55.58
  Range Bin 21: R=0.55, I=27.44, Magnitude=27.45
  Range Bin 22: R=-54.44, I=-77.12, Magnitude=94.40
  Range Bin 23: R=47.14, I=61.08, Magnitude=77.15
  Range Bin 24: R=12.23, I=-27.74, Magnitude=30.31
  Range Bin 25: R=23.77, I=30.28, Magnitude=38.50
  Range Bin 26: R=-51.68, I=8.33, Magnitude=52.35
  Range Bin 27: R=25.90, I=29.44, Magnitude=39.21
  Range Bin 28: R=24.71, I=-33.97, Magnitude=42.01
  Range Bin 29: R=-44.84, I=-6.07, Magnitude=45.25
  Range Bin 30: R=-8.61, I=39.10, Magnitude=40.03
  Range Bin 31: R=61.43, I=-26.16, Magnitude=66.76
  Range Bin 32: R=-44.22, I=-15.62, Magnitude=46.90
  Range Bin 33: R=-7.17, I=50.93, Magnitude=51.43
  Range Bin 34: R=-6.24, I=-15.57, Magnitude=16.78
  Range Bin 35: R=8.96, I=-34.81, Magnitude=35.94
  Range Bin 36: R=-3.16, I=-8.37, Magnitude=8.95
  Range Bin 37: R=-25.94, I=57.26, Magnitude=62.86
  Range Bin 38: R=30.16, I=-28.32, Magnitude=41.37
  Range Bin 39: R=-4.19, I=-5.39, Magnitude=6.83
  Range Bin 40: R=25.60, I=-34.42, Magnitude=42.89
  Range Bin 41: R=-14.41, I=-36.99, Magnitude=39.70
  Range Bin 42: R=5.81, I=116.83, Magnitude=116.97
  Range Bin 43: R=23.64, I=-53.16, Magnitude=58.18
  Range Bin 44: R=-55.68, I=-23.91, Magnitude=60.60
  Range Bin 45: R=-39.03, I=-38.45, Magnitude=54.78
  Range Bin 46: R=77.50, I=46.57, Magnitude=90.42
  Range Bin 47: R=-22.79, I=-26.51, Magnitude=34.96
