Ant 0 / Chirp 0 / Point 0 (Raw: 243, Parsed: -13)
Ant 0 / Chirp 1 / Point 0 (Raw: 27, Parsed: -8)
Ant 0 / Chirp 2 / Point 0 (Raw: 248, Parsed: -8)
Ant 0 / Chirp 3 / Point 0 (Raw: 33, Parsed: -3)
Ant 0 / Chirp 4 / Point 0 (Raw: 248, Parsed: 2)
Ant 0 / Chirp 5 / Point 0 (Raw: 32, Parsed: -8)
Ant 0 / Chirp 6 / Point 0 (Raw: 253, Parsed: -7)
Ant 0 / Chirp 7 / Point 0 (Raw: 28, Parsed: -4)
Ant 0 / Chirp 8 / Point 0 (Raw: 2, Parsed: -4)
Ant 0 / Chirp 9 / Point 0 (Raw: 35, Parsed: 0)
Ant 0 / Chirp 10 / Point 0 (Raw: 248, Parsed: -3)
Ant 0 / Chirp 11 / Point 0 (Raw: 32, Parsed: -5)
Ant 0 / Chirp 12 / Point 0 (Raw: 249, Parsed: -4)
Ant 0 / Chirp 13 / Point 0 (Raw: 31, Parsed: -7)
Ant 0 / Chirp 14 / Point 0 (Raw: 252, Parsed: -1)
Ant 0 / Chirp 15 / Point 0 (Raw: 29, Parsed: 0)
Ant 0 / Chirp 16 / Point 0 (Raw: 252, Parsed: -3)
Ant 0 / Chirp 17 / Point 0 (Raw: 33, Parsed: -6)
Ant 0 / Chirp 18 / Point 0 (Raw: 0, Parsed: 0)
Ant 0 / Chirp 19 / Point 0 (Raw: 25, Parsed: -10)
Ant 0 / Chirp 20 / Point 0 (Raw: 253, Parsed: 4)
Ant 0 / Chirp 21 / Point 0 (Raw: 35, Parsed: 0)
Ant 0 / Chirp 22 / Point 0 (Raw: 251, Parsed: -10)
Ant 0 / Chirp 23 / Point 0 (Raw: 30, Parsed: -4)
Ant 0 / Chirp 24 / Point 0 (Raw: 252, Parsed: -10)
Ant 0 / Chirp 25 / Point 0 (Raw: 34, Parsed: -6)
Ant 0 / Chirp 26 / Point 0 (Raw: 249, Parsed: 2)
Ant 0 / Chirp 27 / Point 0 (Raw: 36, Parsed: -10)
Ant 0 / Chirp 28 / Point 0 (Raw: 255, Parsed: -8)
Ant 0 / Chirp 29 / Point 0 (Raw: 35, Parsed: -3)
Ant 0 / Chirp 30 / Point 0 (Raw: 0, Parsed: 2)
Ant 0 / Chirp 31 / Point 0 (Raw: 34, Parsed: -13)
Ant 0 / Chirp 32 / Point 0 (Raw: 253, Parsed: -3)
Ant 0 / Chirp 33 / Point 0 (Raw: 35, Parsed: -10)
Ant 0 / Chirp 34 / Point 0 (Raw: 250, Parsed: -7)
Ant 0 / Chirp 35 / Point 0 (Raw: 32, Parsed: -10)
Ant 0 / Chirp 36 / Point 0 (Raw: 0, Parsed: -3)
Ant 0 / Chirp 37 / Point 0 (Raw: 38, Parsed: -4)
Ant 0 / Chirp 38 / Point 0 (Raw: 246, Parsed: -3)
Ant 0 / Chirp 39 / Point 0 (Raw: 23, Parsed: -3)
Ant 0 / Chirp 40 / Point 0 (Raw: 4, Parsed: -4)
Ant 0 / Chirp 41 / Point 0 (Raw: 33, Parsed: -1)
Ant 0 / Chirp 42 / Point 0 (Raw: 0, Parsed: 2)
Ant 0 / Chirp 43 / Point 0 (Raw: 27, Parsed: -12)
Ant 0 / Chirp 44 / Point 0 (Raw: 246, Parsed: -7)
Ant 0 / Chirp 45 / Point 0 (Raw: 34, Parsed: -10)
Ant 0 / Chirp 46 / Point 0 (Raw: 252, Parsed: -7)
Ant 0 / Chirp 47 / Point 0 (Raw: 27, Parsed: 3)
Ant 0 / Chirp 48 / Point 0 (Raw: 246, Parsed: -2)
Ant 0 / Chirp 49 / Point 0 (Raw: 35, Parsed: -4)
Ant 0 / Chirp 50 / Point 0 (Raw: 250, Parsed: -4)
Ant 0 / Chirp 51 / Point 0 (Raw: 34, Parsed: -4)
Ant 0 / Chirp 52 / Point 0 (Raw: 2, Parsed: -1)
Ant 0 / Chirp 53 / Point 0 (Raw: 36, Parsed: -3)
Ant 0 / Chirp 54 / Point 0 (Raw: 246, Parsed: -6)
Ant 0 / Chirp 55 / Point 0 (Raw: 36, Parsed: -7)
Ant 0 / Chirp 56 / Point 0 (Raw: 248, Parsed: -5)
Ant 0 / Chirp 57 / Point 0 (Raw: 33, Parsed: -6)
Ant 0 / Chirp 58 / Point 0 (Raw: 253, Parsed: -7)
Ant 0 / Chirp 59 / Point 0 (Raw: 28, Parsed: -3)
Ant 0 / Chirp 60 / Point 0 (Raw: 2, Parsed: -6)
Ant 0 / Chirp 61 / Point 0 (Raw: 32, Parsed: -12)
Ant 0 / Chirp 62 / Point 0 (Raw: 243, Parsed: -8)
Ant 0 / Chirp 63 / Point 0 (Raw: 29, Parsed: -7)
Ant 0 / Chirp 0 / Point 1 (Raw: 5, Parsed: 5)
Ant 0 / Chirp 1 / Point 1 (Raw: 25, Parsed: 7)
Ant 0 / Chirp 2 / Point 1 (Raw: 7, Parsed: 9)
Ant 0 / Chirp 3 / Point 1 (Raw: 24, Parsed: 5)
Ant 0 / Chirp 4 / Point 1 (Raw: 9, Parsed: 0)
Ant 0 / Chirp 5 / Point 1 (Raw: 26, Parsed: 1)
Ant 0 / Chirp 6 / Point 1 (Raw: 5, Parsed: 4)
Ant 0 / Chirp 7 / Point 1 (Raw: 21, Parsed: 10)
Ant 0 / Chirp 8 / Point 1 (Raw: 0, Parsed: 8)
Ant 0 / Chirp 9 / Point 1 (Raw: 24, Parsed: 6)
Ant 0 / Chirp 10 / Point 1 (Raw: 1, Parsed: 11)
Ant 0 / Chirp 11 / Point 1 (Raw: 23, Parsed: 7)
Ant 0 / Chirp 12 / Point 1 (Raw: 4, Parsed: 6)
Ant 0 / Chirp 13 / Point 1 (Raw: 26, Parsed: 6)
Ant 0 / Chirp 14 / Point 1 (Raw: 10, Parsed: 10)
Ant 0 / Chirp 15 / Point 1 (Raw: 30, Parsed: 3)
Ant 0 / Chirp 16 / Point 1 (Raw: 8, Parsed: 4)
Ant 0 / Chirp 17 / Point 1 (Raw: 22, Parsed: 4)
Ant 0 / Chirp 18 / Point 1 (Raw: 6, Parsed: 6)
Ant 0 / Chirp 19 / Point 1 (Raw: 19, Parsed: 1)
Ant 0 / Chirp 20 / Point 1 (Raw: 11, Parsed: 8)
Ant 0 / Chirp 21 / Point 1 (Raw: 21, Parsed: 2)
Ant 0 / Chirp 22 / Point 1 (Raw: 7, Parsed: 7)
Ant 0 / Chirp 23 / Point 1 (Raw: 21, Parsed: 5)
Ant 0 / Chirp 24 / Point 1 (Raw: 6, Parsed: 14)
Ant 0 / Chirp 25 / Point 1 (Raw: 24, Parsed: 2)
Ant 0 / Chirp 26 / Point 1 (Raw: 6, Parsed: 3)
Ant 0 / Chirp 27 / Point 1 (Raw: 23, Parsed: 7)
Ant 0 / Chirp 28 / Point 1 (Raw: 10, Parsed: 4)
Ant 0 / Chirp 29 / Point 1 (Raw: 34, Parsed: 3)
Ant 0 / Chirp 30 / Point 1 (Raw: 3, Parsed: 2)
Ant 0 / Chirp 31 / Point 1 (Raw: 24, Parsed: 10)
Ant 0 / Chirp 32 / Point 1 (Raw: 4, Parsed: 3)
Ant 0 / Chirp 33 / Point 1 (Raw: 28, Parsed: 5)
Ant 0 / Chirp 34 / Point 1 (Raw: 4, Parsed: 2)
Ant 0 / Chirp 35 / Point 1 (Raw: 22, Parsed: 5)
Ant 0 / Chirp 36 / Point 1 (Raw: 6, Parsed: -1)
Ant 0 / Chirp 37 / Point 1 (Raw: 29, Parsed: 5)
Ant 0 / Chirp 38 / Point 1 (Raw: 1, Parsed: 7)
Ant 0 / Chirp 39 / Point 1 (Raw: 24, Parsed: 10)
Ant 0 / Chirp 40 / Point 1 (Raw: 8, Parsed: -1)
Ant 0 / Chirp 41 / Point 1 (Raw: 28, Parsed: 7)
Ant 0 / Chirp 42 / Point 1 (Raw: 2, Parsed: 3)
Ant 0 / Chirp 43 / Point 1 (Raw: 28, Parsed: 2)
Ant 0 / Chirp 44 / Point 1 (Raw: 7, Parsed: 0)
Ant 0 / Chirp 45 / Point 1 (Raw: 24, Parsed: 2)
Ant 0 / Chirp 46 / Point 1 (Raw: 5, Parsed: 6)
Ant 0 / Chirp 47 / Point 1 (Raw: 20, Parsed: 6)
Ant 0 / Chirp 48 / Point 1 (Raw: 14, Parsed: 2)
Ant 0 / Chirp 49 / Point 1 (Raw: 24, Parsed: 4)
Ant 0 / Chirp 50 / Point 1 (Raw: 2, Parsed: 7)
Ant 0 / Chirp 51 / Point 1 (Raw: 25, Parsed: 3)
Ant 0 / Chirp 52 / Point 1 (Raw: 3, Parsed: 8)
Ant 0 / Chirp 53 / Point 1 (Raw: 20, Parsed: 1)
Ant 0 / Chirp 54 / Point 1 (Raw: 7, Parsed: 3)
Ant 0 / Chirp 55 / Point 1 (Raw: 24, Parsed: 4)
Ant 0 / Chirp 56 / Point 1 (Raw: 4, Parsed: -2)
Ant 0 / Chirp 57 / Point 1 (Raw: 31, Parsed: 7)
Ant 0 / Chirp 58 / Point 1 (Raw: 3, Parsed: 5)
Ant 0 / Chirp 59 / Point 1 (Raw: 24, Parsed: 3)
Ant 0 / Chirp 60 / Point 1 (Raw: 2, Parsed: 0)
Ant 0 / Chirp 61 / Point 1 (Raw: 30, Parsed: 7)
Ant 0 / Chirp 62 / Point 1 (Raw: 10, Parsed: 2)
Ant 0 / Chirp 63 / Point 1 (Raw: 26, Parsed: 5)
Ant 0 / Chirp 0 / Point 2 (Raw: 237, Parsed: -19)
Ant 0 / Chirp 1 / Point 2 (Raw: 11, Parsed: -14)
Ant 0 / Chirp 2 / Point 2 (Raw: 242, Parsed: -19)
Ant 0 / Chirp 3 / Point 2 (Raw: 23, Parsed: -18)
Ant 0 / Chirp 4 / Point 2 (Raw: 237, Parsed: -14)
Ant 0 / Chirp 5 / Point 2 (Raw: 17, Parsed: -9)
Ant 0 / Chirp 6 / Point 2 (Raw: 238, Parsed: -14)
Ant 0 / Chirp 7 / Point 2 (Raw: 25, Parsed: -15)
Ant 0 / Chirp 8 / Point 2 (Raw: 242, Parsed: -14)
Ant 0 / Chirp 9 / Point 2 (Raw: 16, Parsed: -13)
Ant 0 / Chirp 10 / Point 2 (Raw: 247, Parsed: -15)
Ant 0 / Chirp 11 / Point 2 (Raw: 24, Parsed: -10)
Ant 0 / Chirp 12 / Point 2 (Raw: 242, Parsed: -19)
Ant 0 / Chirp 13 / Point 2 (Raw: 18, Parsed: -10)
Ant 0 / Chirp 14 / Point 2 (Raw: 241, Parsed: -13)
Ant 0 / Chirp 15 / Point 2 (Raw: 17, Parsed: -20)
Ant 0 / Chirp 16 / Point 2 (Raw: 242, Parsed: -15)
Ant 0 / Chirp 17 / Point 2 (Raw: 13, Parsed: -8)
Ant 0 / Chirp 18 / Point 2 (Raw: 243, Parsed: -13)
Ant 0 / Chirp 19 / Point 2 (Raw: 21, Parsed: -11)
Ant 0 / Chirp 20 / Point 2 (Raw: 241, Parsed: -16)
Ant 0 / Chirp 21 / Point 2 (Raw: 18, Parsed: -16)
Ant 0 / Chirp 22 / Point 2 (Raw: 246, Parsed: -19)
Ant 0 / Chirp 23 / Point 2 (Raw: 15, Parsed: -8)
Ant 0 / Chirp 24 / Point 2 (Raw: 237, Parsed: -14)
Ant 0 / Chirp 25 / Point 2 (Raw: 18, Parsed: -17)
Ant 0 / Chirp 26 / Point 2 (Raw: 246, Parsed: -17)
Ant 0 / Chirp 27 / Point 2 (Raw: 22, Parsed: -11)
Ant 0 / Chirp 28 / Point 2 (Raw: 243, Parsed: -13)
Ant 0 / Chirp 29 / Point 2 (Raw: 22, Parsed: -14)
Ant 0 / Chirp 30 / Point 2 (Raw: 236, Parsed: -17)
Ant 0 / Chirp 31 / Point 2 (Raw: 23, Parsed: -14)
Ant 0 / Chirp 32 / Point 2 (Raw: 241, Parsed: -19)
Ant 0 / Chirp 33 / Point 2 (Raw: 13, Parsed: -14)
Ant 0 / Chirp 34 / Point 2 (Raw: 248, Parsed: -18)
Ant 0 / Chirp 35 / Point 2 (Raw: 23, Parsed: -18)
Ant 0 / Chirp 36 / Point 2 (Raw: 243, Parsed: -14)
Ant 0 / Chirp 37 / Point 2 (Raw: 11, Parsed: -14)
Ant 0 / Chirp 38 / Point 2 (Raw: 245, Parsed: -15)
Ant 0 / Chirp 39 / Point 2 (Raw: 10, Parsed: -5)
Ant 0 / Chirp 40 / Point 2 (Raw: 240, Parsed: -14)
Ant 0 / Chirp 41 / Point 2 (Raw: 19, Parsed: -25)
Ant 0 / Chirp 42 / Point 2 (Raw: 240, Parsed: -20)
Ant 0 / Chirp 43 / Point 2 (Raw: 9, Parsed: -24)
Ant 0 / Chirp 44 / Point 2 (Raw: 237, Parsed: -24)
Ant 0 / Chirp 45 / Point 2 (Raw: 21, Parsed: -21)
Ant 0 / Chirp 46 / Point 2 (Raw: 248, Parsed: -17)
Ant 0 / Chirp 47 / Point 2 (Raw: 8, Parsed: -20)
Ant 0 / Chirp 48 / Point 2 (Raw: 242, Parsed: -25)
Ant 0 / Chirp 49 / Point 2 (Raw: 17, Parsed: -23)
Ant 0 / Chirp 50 / Point 2 (Raw: 239, Parsed: -15)
Ant 0 / Chirp 51 / Point 2 (Raw: 19, Parsed: -15)
Ant 0 / Chirp 52 / Point 2 (Raw: 239, Parsed: -20)
Ant 0 / Chirp 53 / Point 2 (Raw: 17, Parsed: -11)
Ant 0 / Chirp 54 / Point 2 (Raw: 245, Parsed: -14)
Ant 0 / Chirp 55 / Point 2 (Raw: 18, Parsed: -17)
Ant 0 / Chirp 56 / Point 2 (Raw: 243, Parsed: -14)
Ant 0 / Chirp 57 / Point 2 (Raw: 21, Parsed: -14)
Ant 0 / Chirp 58 / Point 2 (Raw: 242, Parsed: -22)
Ant 0 / Chirp 59 / Point 2 (Raw: 22, Parsed: -13)
Ant 0 / Chirp 60 / Point 2 (Raw: 239, Parsed: -15)
Ant 0 / Chirp 61 / Point 2 (Raw: 11, Parsed: -17)
Ant 0 / Chirp 62 / Point 2 (Raw: 242, Parsed: -12)
Ant 0 / Chirp 63 / Point 2 (Raw: 20, Parsed: -15)
Ant 0 / Chirp 0 / Point 3 (Raw: 220, Parsed: -36)
Ant 0 / Chirp 1 / Point 3 (Raw: 7, Parsed: -33)
Ant 0 / Chirp 2 / Point 3 (Raw: 223, Parsed: -34)
Ant 0 / Chirp 3 / Point 3 (Raw: 8, Parsed: -34)
Ant 0 / Chirp 4 / Point 3 (Raw: 222, Parsed: -38)
Ant 0 / Chirp 5 / Point 3 (Raw: 3, Parsed: -31)
Ant 0 / Chirp 6 / Point 3 (Raw: 222, Parsed: -32)
Ant 0 / Chirp 7 / Point 3 (Raw: 7, Parsed: -37)
Ant 0 / Chirp 8 / Point 3 (Raw: 218, Parsed: -37)
Ant 0 / Chirp 9 / Point 3 (Raw: 8, Parsed: -32)
Ant 0 / Chirp 10 / Point 3 (Raw: 225, Parsed: -39)
Ant 0 / Chirp 11 / Point 3 (Raw: 7, Parsed: -37)
Ant 0 / Chirp 12 / Point 3 (Raw: 224, Parsed: -35)
Ant 0 / Chirp 13 / Point 3 (Raw: 8, Parsed: -36)
Ant 0 / Chirp 14 / Point 3 (Raw: 219, Parsed: -43)
Ant 0 / Chirp 15 / Point 3 (Raw: 7, Parsed: -44)
Ant 0 / Chirp 16 / Point 3 (Raw: 219, Parsed: -33)
Ant 0 / Chirp 17 / Point 3 (Raw: 9, Parsed: -33)
Ant 0 / Chirp 18 / Point 3 (Raw: 224, Parsed: -39)
Ant 0 / Chirp 19 / Point 3 (Raw: 8, Parsed: -34)
Ant 0 / Chirp 20 / Point 3 (Raw: 217, Parsed: -38)
Ant 0 / Chirp 21 / Point 3 (Raw: 8, Parsed: -33)
Ant 0 / Chirp 22 / Point 3 (Raw: 219, Parsed: -34)
Ant 0 / Chirp 23 / Point 3 (Raw: 10, Parsed: -32)
Ant 0 / Chirp 24 / Point 3 (Raw: 221, Parsed: -30)
Ant 0 / Chirp 25 / Point 3 (Raw: 1, Parsed: -34)
Ant 0 / Chirp 26 / Point 3 (Raw: 220, Parsed: -30)
Ant 0 / Chirp 27 / Point 3 (Raw: 9, Parsed: -28)
Ant 0 / Chirp 28 / Point 3 (Raw: 213, Parsed: -33)
Ant 0 / Chirp 29 / Point 3 (Raw: 6, Parsed: -36)
Ant 0 / Chirp 30 / Point 3 (Raw: 212, Parsed: -35)
Ant 0 / Chirp 31 / Point 3 (Raw: 8, Parsed: -34)
Ant 0 / Chirp 32 / Point 3 (Raw: 223, Parsed: -40)
Ant 0 / Chirp 33 / Point 3 (Raw: 5, Parsed: -37)
Ant 0 / Chirp 34 / Point 3 (Raw: 223, Parsed: -34)
Ant 0 / Chirp 35 / Point 3 (Raw: 14, Parsed: -37)
Ant 0 / Chirp 36 / Point 3 (Raw: 217, Parsed: -41)
Ant 0 / Chirp 37 / Point 3 (Raw: 11, Parsed: -38)
Ant 0 / Chirp 38 / Point 3 (Raw: 222, Parsed: -32)
Ant 0 / Chirp 39 / Point 3 (Raw: 10, Parsed: -35)
Ant 0 / Chirp 40 / Point 3 (Raw: 218, Parsed: -36)
Ant 0 / Chirp 41 / Point 3 (Raw: 1, Parsed: -41)
Ant 0 / Chirp 42 / Point 3 (Raw: 223, Parsed: -34)
Ant 0 / Chirp 43 / Point 3 (Raw: 9, Parsed: -38)
Ant 0 / Chirp 44 / Point 3 (Raw: 222, Parsed: -38)
Ant 0 / Chirp 45 / Point 3 (Raw: 11, Parsed: -42)
Ant 0 / Chirp 46 / Point 3 (Raw: 224, Parsed: -35)
Ant 0 / Chirp 47 / Point 3 (Raw: 11, Parsed: -33)
Ant 0 / Chirp 48 / Point 3 (Raw: 226, Parsed: -38)
Ant 0 / Chirp 49 / Point 3 (Raw: 5, Parsed: -31)
Ant 0 / Chirp 50 / Point 3 (Raw: 222, Parsed: -31)
Ant 0 / Chirp 51 / Point 3 (Raw: 0, Parsed: -44)
Ant 0 / Chirp 52 / Point 3 (Raw: 226, Parsed: -34)
Ant 0 / Chirp 53 / Point 3 (Raw: 11, Parsed: -39)
Ant 0 / Chirp 54 / Point 3 (Raw: 228, Parsed: -37)
Ant 0 / Chirp 55 / Point 3 (Raw: 10, Parsed: -36)
