--- Python Output: FFT 结果 (N=128) ---
Point 0: R=-1009.00, I=0.00
Point 1: R=-398.71, I=233.51
Point 2: R=-398.05, I=355.94
Point 3: R=174.23, I=106.80
Point 4: R=-6.09, I=37.28
Point 5: R=25.31, I=5.11
Point 6: R=30.39, I=-55.99
Point 7: R=107.15, I=51.51
Point 8: R=-35.19, I=54.18
Point 9: R=34.71, I=-1.02
Point 10: R=-13.35, I=-49.66
Point 11: R=53.69, I=-77.56
Point 12: R=37.97, I=-40.77
Point 13: R=-16.05, I=-66.63
Point 14: R=-80.08, I=-142.53
Point 15: R=286.47, I=48.28
Point 16: R=285.12, I=-169.92
Point 17: R=360.38, I=-28.34
Point 18: R=-149.58, I=-8.02
Point 19: R=549.85, I=549.72
Point 20: R=-439.56, I=-166.20
Point 21: R=-88.80, I=-129.05
Point 22: R=202.84, I=-50.53
Point 23: R=473.84, I=-45.82
Point 24: R=66.15, I=-279.26
Point 25: R=-145.29, I=168.53
Point 26: R=-44.96, I=168.95
Point 27: R=42.16, I=35.79
Point 28: R=-34.17, I=-32.38
Point 29: R=-37.27, I=29.15
Point 30: R=69.50, I=53.65
Point 31: R=-59.65, I=-32.36
Point 32: R=19.00, I=-8.00
Point 33: R=79.57, I=16.24
Point 34: R=-94.50, I=-23.56
Point 35: R=-84.87, I=14.92
Point 36: R=-61.27, I=-120.51
Point 37: R=129.28, I=-61.89
Point 38: R=-275.11, I=142.86
Point 39: R=-31.35, I=14.58
Point 40: R=15.87, I=-106.35
Point 41: R=-41.06, I=-36.51
Point 42: R=42.63, I=-3.33
Point 43: R=-1.23, I=-38.33
Point 44: R=-70.41, I=343.04
Point 45: R=-34.55, I=-99.00
Point 46: R=65.13, I=-64.13
Point 47: R=-13.31, I=-19.68
Point 48: R=140.88, I=-13.92
Point 49: R=76.26, I=57.46
Point 50: R=-107.28, I=-11.00
Point 51: R=-41.55, I=-23.40
Point 52: R=20.15, I=26.00
Point 53: R=76.94, I=-66.26
Point 54: R=-76.02, I=2.81
Point 55: R=-29.74, I=-48.94
Point 56: R=-46.83, I=-16.91
Point 57: R=-32.23, I=-84.98
Point 58: R=22.09, I=18.46
Point 59: R=-53.87, I=7.07
Point 60: R=17.38, I=-21.33
Point 61: R=25.92, I=8.06
Point 62: R=6.35, I=65.64
Point 63: R=-106.24, I=-22.19
Point 64: R=103.00, I=0.00
Point 65: R=-106.24, I=22.19
Point 66: R=6.35, I=-65.64
Point 67: R=25.92, I=-8.06
Point 68: R=17.38, I=21.33
Point 69: R=-53.87, I=-7.07
Point 70: R=22.09, I=-18.46
Point 71: R=-32.23, I=84.98
Point 72: R=-46.83, I=16.91
Point 73: R=-29.74, I=48.94
Point 74: R=-76.02, I=-2.81
Point 75: R=76.94, I=66.26
Point 76: R=20.15, I=-26.00
Point 77: R=-41.55, I=23.40
Point 78: R=-107.28, I=11.00
Point 79: R=76.26, I=-57.46
Point 80: R=140.88, I=13.92
Point 81: R=-13.31, I=19.68
Point 82: R=65.13, I=64.13
Point 83: R=-34.55, I=99.00
Point 84: R=-70.41, I=-343.04
Point 85: R=-1.23, I=38.33
Point 86: R=42.63, I=3.33
Point 87: R=-41.06, I=36.51
Point 88: R=15.87, I=106.35
Point 89: R=-31.35, I=-14.58
Point 90: R=-275.11, I=-142.86
Point 91: R=129.28, I=61.89
Point 92: R=-61.27, I=120.51
Point 93: R=-84.87, I=-14.92
Point 94: R=-94.50, I=23.56
Point 95: R=79.57, I=-16.24
Point 96: R=19.00, I=8.00
Point 97: R=-59.65, I=32.36
Point 98: R=69.50, I=-53.65
Point 99: R=-37.27, I=-29.15
Point 100: R=-34.17, I=32.38
Point 101: R=42.16, I=-35.79
Point 102: R=-44.96, I=-168.95
Point 103: R=-145.29, I=-168.53
Point 104: R=66.15, I=279.26
Point 105: R=473.84, I=45.82
Point 106: R=202.84, I=50.53
Point 107: R=-88.80, I=129.05
Point 108: R=-439.56, I=166.20
Point 109: R=549.85, I=-549.72
Point 110: R=-149.58, I=8.02
Point 111: R=360.38, I=28.34
Point 112: R=285.12, I=169.92
Point 113: R=286.47, I=-48.28
Point 114: R=-80.08, I=142.53
Point 115: R=-16.05, I=66.63
Point 116: R=37.97, I=40.77
Point 117: R=53.69, I=77.56
Point 118: R=-13.35, I=49.66
Point 119: R=34.71, I=1.02
Point 120: R=-35.19, I=-54.18
Point 121: R=107.15, I=-51.51
Point 122: R=30.39, I=55.99
Point 123: R=25.31, I=-5.11
Point 124: R=-6.09, I=-37.28
Point 125: R=174.23, I=-106.80
Point 126: R=-398.05, I=-355.94
Point 127: R=-398.71, I=-233.51
